iso,App,English,Company,Type
de,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
de,ALBAIK Delivery,ALBAIK Delivery,ALBAIK® Food Systems Company,
de,KFC Saudi - Order food online from KFC Delivery!,KFC Saudi - Order food online from KFC Delivery!,Americana Food Co,
de,The Chefz- Best food delivery app,The Chefz- Best food delivery app,The Chefz,
de,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
de,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,Food delivery
de,Herfy Delivery,Herfy Delivery,Herfy Food Services Company,
de,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
de,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
de,배달의민족,Ethnic delivery,WoowaBrothers,
de,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
de,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
de,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,Food delivery
de,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
de,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,
de,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
de,Coupang Eats - Rocket Delivery for Food,Coupang Eats - Rocket Delivery for Food,쿠팡,
de,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
de,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
de,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,Food delivery
de,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
de,goPuff: Drink & Food Delivery,goPuff: Drink & Food Delivery,goPuff,
de,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
de,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
de,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
de,InstaShop: Convenience delivered,InstaShop: Convenience delivered,InstaShop Ltd,
de,Just Eat France - Food Delivery,Just Eat France - Food Delivery,Just-Eat Holding Limited,Food delivery
is,Domicilios.com - Delivery App,Domicilios.com - Delivery App,PedidoYa S.A.,
is,Магнит: доставка продуктов на дом из магазина,Magnet: food delivery to your home from the store,АО Тандер,
is,Jumia Food: Local Food Delivery near You,Jumia Food: Local Food Delivery near You,JUMIA,
is,Foodracers: food delivery,Foodracers: food delivery,Foodracers,
is,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
is,Wabi: Your Online Convenience Store -Free Delivery,Wabi: Your Online Convenience Store -Free Delivery,YOPDev,
is,efood delivery,efood delivery,efood,
is,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
is,Foody - Food and Groceries Delivery in Cyprus,Foody - Food and Groceries Delivery in Cyprus,Foody.com.cy,
is,Wow Delivery,Wow Delivery,Alsea,
is,KFC Delivery Su,KFC Delivery Su,GlobalFood,
is,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
is,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
is,Telepizza Food and pizza delivery,Telepizza Food and pizza delivery,Tele Pizza S.A.U.,
is,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
is,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,
is,Coupang Eats - Rocket Delivery for Food,Coupang Eats - Rocket Delivery for Food,쿠팡,
is,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
is,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,Food delivery
is,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
is,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
is,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
is,배달의민족,Ethnic delivery,WoowaBrothers,
is,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
is,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
is,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,Food delivery
is,goPuff: Drink & Food Delivery,goPuff: Drink & Food Delivery,goPuff,
is,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
is,"Yelp: Find Food, Delivery & Services Nearby","Yelp: Find Food, Delivery & Services Nearby","Yelp, Inc",
is,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
is,Магнит: доставка продуктов на дом из магазина,Magnet: food delivery to your home from the store,АО Тандер,
is,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,Food delivery
is,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
is,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
is,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
is,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
is,Tasleem: Food & Shop Delivery,Tasleem: Food & Shop Delivery,Tasleem Trending LLC,
is,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
is,Just Eat France - Food Delivery,Just Eat France - Food Delivery,Just-Eat Holding Limited,Food delivery
is,KFC Saudi - Order food online from KFC Delivery!,KFC Saudi - Order food online from KFC Delivery!,Americana Food Co,
is,InstaShop: Convenience delivered,InstaShop: Convenience delivered,InstaShop Ltd,
is,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
is,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,
is,Ubii Go Delivery,Ubii Go Delivery,Ubii Pagos C.A.,
is,Mojeeb مجيب - Food Delivery,Mojeeb Responsive - Food Delivery,Mojeeb,
is,"Liveri: Delivery de Comida, Mercado y Farmacias","Liveri: Delivery of Food, Market and Pharmacies",Ticketmundo International Corp,
is,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
is,QUIK: Pago y Delivery en Maracaibo,QUIK: Payment and Delivery in Maracaibo,QUIK GROUP LLC,
is,Domicilios.com - Delivery App,Domicilios.com - Delivery App,PedidoYa S.A.,
is,Kepido Venezuela - Delivery Online,Kepido Venezuela - Delivery Online,Kepido Internacional,
hk,ALA Delivery,ALA Delivery,ALA Delivery,
hk,Amiko Delivery,friend Delivery,Grupo Amiko,
hk,Detodito app - Delivery Online,Detodito app - Delivery Online,Detodito LLC,
hk,KFC Delivery Su,KFC Delivery Su,GlobalFood,
hk,Talabatey Online Food Delivery,Talabatey Online Food Delivery,Smart Delivery Group,
hk,"Cheetay - Food, groceries and medicines delivery","Cheetay - Food, groceries and medicines delivery",Cheetay,
hk,iFood Delivery de Comida e Mercado,iFood Food and Market Delivery,iFood Delivery de Comida e Mercado,
hk,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
hk,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
hk,Zé Delivery de Bebidas - Gelada a Preço de Mercado,Beverage Delivery Ze - Cold at Market Price,Zé Delivery,
hk,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,
hk,"James Delivery: Entrega de Comida, Mercado e mais","James Delivery: Food Delivery, Market and more","James Delivery - Comida, Mercado, Restaurantes e +",
hk,aiqfome - delivery de comida,aiqfome - food delivery,aiqfome,
hk,Delivery Much - Entrega de Comida,Much Delivery - Food Delivery,Delivery Much,
hk,Coupang Eats - Rocket Delivery for Food,Coupang Eats - Rocket Delivery for Food,쿠팡,
hk,Wabi: Your Online Convenience Store -Free Delivery,Wabi: Your Online Convenience Store -Free Delivery,YOPDev,
hk,"Quero Delivery - entrega de comida, mercado e +",I want Delivery - food delivery and market +,QueroDelivery Labs,
hk,"pede.ai - Delivery de comida, gás, água e farmácia","pede.ai - Delivery of food, water, gas and pharmacy",umbu.tech,
hk,Zé Entregador,Ze Delivery,Zé Delivery,
hk,Liv Up – Entrega de Comida Saudável,Liv Up - Food Delivery Healthy,Liv Up,
hk,Tonolucro Delivery de Tudo,Tonolucro Delivery All,Tonolucro,
hk,UaiRango Delivery,UaiRango Delivery,UaiRango,
hk,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
hk,Aiboo - Delivery de Comida,Aiboo - Food Delivery,Aiboo,
hk,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
hk,189 DELIVERY- Food Order and Delivery,189 DELIVERY- Food Order and Delivery,"189 - Taxi, Delivery & Courier",Food delivery
hk,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
hk,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
hk,goPuff: Drink & Food Delivery,goPuff: Drink & Food Delivery,goPuff,
hk,Магнит: доставка продуктов на дом из магазина,Magnet: food delivery to your home from the store,АО Тандер,
hk,Fonibo - Marketdən Çatdırılma,Fonibo - Market Delivery,Fonibo,
hk,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
hk,KFC Saudi - Order food online from KFC Delivery!,KFC Saudi - Order food online from KFC Delivery!,Americana Food Co,
hk,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
hk,TokiNY - доставка еды в Минске от 45 минут,TokiNY - delivery of food in Minsk from 45 minutes,TokiNY,
hk,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,Food delivery
hk,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
hk,Scope Delivery - Food Delivery,Scope Delivery - Food Delivery,Scope.City,
hk,189 DELIVERY Courier,189 DELIVERY Courier,"189 - Taxi, Delivery & Courier",Food delivery
hk,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
hk,Telepizza Food and pizza delivery,Telepizza Food and pizza delivery,Tele Pizza S.A.U.,
hk,InstaShop: Convenience delivered,InstaShop: Convenience delivered,InstaShop Ltd,
hk,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
hk,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
hk,Notlob - Online Food Delivery App,Notlob - Online Food Delivery App,Vehitra Tech,
hk,McDelivery Lebanon,McDelivery Lebanon,McDonalds,
hk,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
hk,efood: Food & Grocery Delivery,efood: Food & Grocery Delivery,esoq,
hk,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
hk,KFC Saudi - Order food online from KFC Delivery!,KFC Saudi - Order food online from KFC Delivery!,Americana Food Co,
se,KFC Delivery Su,KFC Delivery Su,GlobalFood,
se,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,
se,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
se,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,Food delivery
se,SendMe - Deliveries,SendMe - Deliveries,SendMe Deliveries and Take Aways,Food delivery
se,Telepizza Food and pizza delivery,Telepizza Food and pizza delivery,Tele Pizza S.A.U.,
se,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
se,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,Food delivery
se,VisitMe Food Delivery,VisitMe Food Delivery,VisitMe.hu,
se,Ant Delivery,Ant Delivery,"Ant Army Co.,Ltd.",
se,Like Delivery Thailand,Like Delivery Thailand,Like Delivery,
se,Like Delivery Restaurant,Like Delivery Restaurant,Like Delivery,
se,KFC Delivery Su,KFC Delivery Su,GlobalFood,
se,Pudum Delivery ปูดำเดลิเวอรี่,Pudum Delivery crab delivery.,GooApp by QuinL Thailand,
se,Kaitoon Delivery,Kaitoon Delivery,GooApp by QuinL Thailand,
se,Happy Box Delivery Thailand,Happy Box Delivery Thailand,Happy Box Delivery,
se,Like Delivery Rider,Like Delivery Rider,Like Delivery,
se,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
se,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,Food delivery
se,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,Food delivery
se,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
se,배달의민족,Ethnic delivery,WoowaBrothers,
se,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
se,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,Food delivery
se,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
se,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
se,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,Food delivery
se,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
se,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
se,Just Eat France - Food Delivery,Just Eat France - Food Delivery,Just-Eat Holding Limited,Food delivery
se,Qooxy: Livraison à domicile et bien plus,Qooxy: home delivery and more,Qooxy  Technologies,
se,Fast Delivery : Livraison de repas à domicile,Fast Delivery: meal delivery service,Fast Delivery Algérie,
se,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
se,Pizza Hut Delivery,Pizza Hut Delivery,MIXOR S.A.,
se,KFC Delivery Su,KFC Delivery Su,GlobalFood,
se,Beez Delivery,Beez Delivery,Arcandia,
se,Faster - Delivery App,Faster - Delivery App,"Faster, Inc - Delivery",
se,Snap eats - Delivery,Snap eats - Delivery,SoftCity,
se,Domicilios.com - Delivery App,Domicilios.com - Delivery App,PedidoYa S.A.,
se,Rush  Delivery App - Pedidos a Domicilio,Rush Delivery App - Order a Domicilio,RushSoft,
se,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
se,KFC Delivery Su,KFC Delivery Su,GlobalFood,
se,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
se,Subway Delivery,Subway Delivery,FoodSoul,
se,تطبيق جوعان - طلب وتوصيل الطعام اون لاين في تركيا,Application hungry - Order and deliver food online in Turkey,NAMAA SOLUTIONS,
se,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
se,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
se,KFC Delivery Su,KFC Delivery Su,GlobalFood,
se,Diliviri App - Delivery Panama,Delivery of steady App - Panama,Diliviri App,
se,McDelivery Su,McDelivery Su,GlobalFood,
sg,Pedidos Online: Delivery de Comida y mucho más,Online orders: Delivery of food and more,Pedidos Online,
sg,Domicilios.com - Delivery App,Domicilios.com - Delivery App,PedidoYa S.A.,
sg,Mr Delivery & e-commerce,Mr Delivery & e-commerce,Desarróllamelo,
sg,McDelivery UAE,McDelivery UAE,McDonalds UAE,
sg,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
sg,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
sg,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,
sg,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
sg,Wabi: Your Online Convenience Store -Free Delivery,Wabi: Your Online Convenience Store -Free Delivery,YOPDev,
sg,배달의민족,Ethnic delivery,WoowaBrothers,
sg,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
sg,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,
sg,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
sg,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
sg,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,
sg,aiqfome - delivery de comida,aiqfome - food delivery,aiqfome,
sg,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
sg,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
sg,Just Eat France - Food Delivery,Just Eat France - Food Delivery,Just-Eat Holding Limited,
sg,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
sg,McDelivery Malaysia,McDelivery Malaysia,McDonald's Malaysia,
sg,LOLOL - Food Delivery,LOLOL - Food Delivery,LOLOL,
sg,DeliverEat,DeliverEat,DeliverEat,
sg,Buy@home-delivering all your needs,Buy@home-delivering all your needs,BUY@HOME,
sg,Order Sajalah Shopping & Delivery App,Just Shopping & Delivery Order App,Smarts Millionz Sdn Bhd,
sg,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
sg,EMENU - Доставка Еды,EMENU - Food Delivery,eMenu.kz,
sg,Chocofood.kz - доставка еды из заведений,Chocofood.kz - delivery of food establishments,Chocofamily,
sg,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
sg,Samurai Sushi - доставка суши,Samurai Sushi - Sushi delivery,Samurai Sushi LLC,
sg,Солнечный – доставка продуктов и еды в Костанае,Sunny - Delivery of products and food in Kostanay,ТОО «Супермаркет Солнечный»,
sg,ALLFood - сервис по заказу и доставки еды,ALLFood - service to order and food delivery,Atomozen,
sg,ProСуши - доставка суши,ProSushi - sushi delivery,Павел Марченко,
sg,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
sg,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,
sg,InstaShop: Convenience delivered,InstaShop: Convenience delivered,InstaShop Ltd,
sg,McDelivery UAE,McDelivery UAE,McDonalds UAE,
sg,Chicking UAE - Online Food Order & Delivery,Chicking UAE - Online Food Order & Delivery,Chicking,
sg,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
sg,Carriage - Food Delivery,Carriage - Food Delivery,Carriage Food and Grocery Delivery,
sg,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
sg,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
sg,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
sg,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
sg,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,
sg,배달의민족,Ethnic delivery,WoowaBrothers,
sg,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
sg,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
sg,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,
sg,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
nl,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,
nl,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
nl,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
nl,Foodak: Food delivery & more,Foodak: Food delivery & more,Venture Capital Vision,
nl,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
nl,KFC Delivery Su,KFC Delivery Su,GlobalFood,
nl,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
nl,InstaShop: Convenience delivered,InstaShop: Convenience delivered,InstaShop Ltd,
nl,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,
nl,189 DELIVERY- Food Order and Delivery,189 DELIVERY- Food Order and Delivery,"189 - Taxi, Delivery & Courier",
nl,Spar: Ordering & Delivery,Spar: Ordering & Delivery,Gyro Technologies (Pty) Ltd,
nl,Berain Water Delivery,Berain Water Delivery,IT@Berain,
nl,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
nl,وصل Wssel - Food Delivery in KSA,وصل Wssel - Food Delivery in KSA,W99L SOLUTIONS,
nl,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
nl,McDelivery Saudi West & South,McDelivery Saudi West & South,McDonald’s Saudi West & South,
nl,"McDelivery Saudi Central, N&E","McDelivery Saudi Central, N&E","McDelivery Saudi Central,East & North",
nl,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
nl,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
nl,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,
nl,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
nl,배달의민족,Ethnic delivery,WoowaBrothers,
nl,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
nl,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,
nl,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
nl,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
nl,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,
nl,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
nl,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
nl,Just Eat France - Food Delivery,Just Eat France - Food Delivery,Just-Eat Holding Limited,
nl,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,
nl,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
nl,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
nl,Alfonsino - Food Delivery,Alfonsino - Food Delivery,Alfonsino srl,
nl,McDelivery Su,McDelivery Su,GlobalFood,
nl,InstaShop: Convenience delivered,InstaShop: Convenience delivered,InstaShop Ltd,
nl,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
nl,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,
nl,Galeone Delivery,Galeone Delivery,Nsoft.gr,
nl,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
nl,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,
nl,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
nl,Pizza Dominium - Pyszna Pizza z Dowozem,Pizza Dominium - Delicious pizza with delivery,Dominium S.A.,
nl,189 DELIVERY- Food Order and Delivery,189 DELIVERY- Food Order and Delivery,"189 - Taxi, Delivery & Courier",
nl,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,
nl,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
nl,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
nl,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,
nl,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
nl,배달의민족,Ethnic delivery,WoowaBrothers,
dk,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
dk,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,
dk,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
dk,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
dk,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,
dk,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
dk,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
dk,InstaShop: Convenience delivered,InstaShop: Convenience delivered,InstaShop Ltd,
dk,Just Eat France - Food Delivery,Just Eat France - Food Delivery,Just-Eat Holding Limited,
dk,Domicilios.com - Delivery App,Domicilios.com - Delivery App,PedidoYa S.A.,
dk,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
dk,Wabi: Your Online Convenience Store -Free Delivery,Wabi: Your Online Convenience Store -Free Delivery,YOPDev,
dk,Appbar - Delivery de Bebidas,Appbar - Beverage Delivery,Appbar - Delivery de Bebidas,
dk,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
dk,Faster Delivery,Faster Delivery,OA Soft,
dk,Pedidos Online: Delivery de Comida y mucho más,Online orders: Delivery of food and more,Pedidos Online,
dk,KFC Delivery Su,KFC Delivery Su,GlobalFood,
dk,Akeed Delivery,Akeed Delivery,Akeed,
dk,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,
dk,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",
dk,InstaShop: Convenience delivered,InstaShop: Convenience delivered,InstaShop Ltd,
